date,meantemp,humidity,windspeedKmph,pressure,location
2018-12-18,27,77,20,1011,Port-Vila
2018-12-18,27,77,19,1010,Port-Vila
2018-12-18,27,78,22,1010,Port-Vila
2018-12-18,27,80,24,1011,Port-Vila
2018-12-18,27,80,27,1012,Port-Vila
2018-12-19,27,82,26,1010,Port-Vila
2018-12-19,26,85,27,1011,Port-Vila
2018-12-19,26,86,27,1011,Port-Vila
2018-12-19,27,84,26,1011,Port-Vila
2018-12-19,27,83,26,1010,Port-Vila
2018-12-19,27,82,27,1010,Port-Vila
2018-12-19,27,80,28,1011,Port-Vila
2018-12-19,27,82,27,1012,Port-Vila
2018-12-20,27,82,25,1011,Port-Vila
2018-12-20,27,84,25,1010,Port-Vila
2018-12-20,27,86,22,1011,Port-Vila
2018-12-20,27,85,21,1011,Port-Vila
2018-12-20,27,82,22,1010,Port-Vila
2018-12-20,27,83,21,1009,Port-Vila
2018-12-20,27,82,21,1010,Port-Vila
2018-12-20,27,80,23,1010,Port-Vila
2018-12-21,27,78,22,1009,Port-Vila
2018-12-21,28,76,21,1009,Port-Vila
2018-12-21,27,77,19,1010,Port-Vila
2018-12-21,27,78,22,1010,Port-Vila
2018-12-21,28,77,21,1008,Port-Vila
2018-12-21,28,76,19,1009,Port-Vila
2018-12-21,28,77,15,1010,Port-Vila
2018-12-21,28,77,13,1010,Port-Vila
2018-12-22,28,76,13,1009,Port-Vila
2018-12-22,28,75,12,1009,Port-Vila
2018-12-22,28,75,14,1010,Port-Vila
2018-12-22,28,74,16,1010,Port-Vila
2018-12-22,28,72,15,1009,Port-Vila
2018-12-22,29,71,14,1009,Port-Vila
2018-12-22,28,76,14,1010,Port-Vila
2018-12-22,28,77,14,1010,Port-Vila
2018-12-23,28,76,13,1009,Port-Vila
2018-12-23,28,78,15,1009,Port-Vila
2018-12-23,28,79,15,1010,Port-Vila
2018-12-23,28,78,17,1010,Port-Vila
2018-12-23,29,78,18,1009,Port-Vila
2018-12-23,29,79,19,1009,Port-Vila
2018-12-23,28,82,22,1010,Port-Vila
2018-12-23,28,83,23,1011,Port-Vila
2018-12-24,28,83,23,1009,Port-Vila
2018-12-24,28,83,25,1009,Port-Vila
2018-12-24,28,80,26,1010,Port-Vila
2018-12-24,29,78,23,1010,Port-Vila
2018-12-24,29,78,23,1009,Port-Vila
2018-12-24,29,78,21,1009,Port-Vila
2018-12-24,28,81,23,1011,Port-Vila
2018-12-24,28,82,24,1011,Port-Vila
2018-12-25,28,83,26,1010,Port-Vila
2018-12-25,28,83,26,1009,Port-Vila
2018-12-25,28,83,27,1010,Port-Vila
2018-12-25,28,81,26,1010,Port-Vila
2018-12-25,28,80,23,1009,Port-Vila
2018-12-25,28,81,29,1009,Port-Vila
2018-12-25,28,82,30,1010,Port-Vila
2018-12-25,28,82,31,1010,Port-Vila
2018-12-26,28,81,31,1009,Port-Vila
2018-12-26,28,81,31,1008,Port-Vila
2018-12-26,28,80,29,1009,Port-Vila
2018-12-26,28,79,26,1008,Port-Vila
2018-12-26,29,77,27,1007,Port-Vila
2018-12-26,28,78,27,1006,Port-Vila
2018-12-26,28,78,28,1008,Port-Vila
2018-12-26,28,78,29,1008,Port-Vila
2018-12-27,28,79,33,1007,Port-Vila
2018-12-27,28,80,34,1007,Port-Vila
2018-12-27,28,80,34,1007,Port-Vila
2018-12-27,28,78,34,1007,Port-Vila
2018-12-27,28,77,33,1006,Port-Vila
2018-12-27,28,79,35,1005,Port-Vila
2018-12-27,28,81,34,1006,Port-Vila
2018-12-27,28,80,35,1007,Port-Vila
2018-12-28,28,80,33,1006,Port-Vila
2018-12-28,28,79,37,1007,Port-Vila
2018-12-28,28,78,35,1008,Port-Vila
2018-12-28,28,77,36,1007,Port-Vila
2018-12-28,28,76,36,1007,Port-Vila
2018-12-28,28,77,41,1008,Port-Vila
2018-12-28,28,77,43,1009,Port-Vila
2018-12-28,28,76,46,1009,Port-Vila
2018-12-29,28,76,46,1007,Port-Vila
2018-12-29,28,77,46,1008,Port-Vila
2018-12-29,28,78,44,1008,Port-Vila
2018-12-29,28,77,39,1008,Port-Vila
2018-12-29,28,76,42,1007,Port-Vila
2018-12-29,28,77,42,1007,Port-Vila
2018-12-29,27,77,42,1008,Port-Vila
2018-12-29,27,77,44,1008,Port-Vila
2018-12-30,27,77,42,1007,Port-Vila
2018-12-30,27,77,42,1007,Port-Vila
2018-12-30,27,76,42,1008,Port-Vila
2018-12-30,27,75,42,1007,Port-Vila
2018-12-30,27,75,42,1006,Port-Vila
2018-12-30,27,74,42,1006,Port-Vila
2018-12-30,27,74,41,1007,Port-Vila
2018-12-30,26,73,40,1007,Port-Vila
2018-12-31,26,74,36,1006,Port-Vila
2018-12-31,26,72,32,1006,Port-Vila
2018-12-31,26,71,32,1007,Port-Vila
2018-12-31,27,69,30,1006,Port-Vila
2018-12-31,27,71,30,1005,Port-Vila
2018-12-31,27,73,33,1005,Port-Vila
2018-12-31,26,76,34,1006,Port-Vila
2018-12-31,26,76,33,1006,Port-Vila
2019-01-01,26,77,28,1005,Port-Vila
2019-01-01,26,76,27,1006,Port-Vila
2019-01-01,26,74,26,1006,Port-Vila
2019-01-01,26,72,27,1006,Port-Vila
2019-01-01,27,70,27,1005,Port-Vila
2019-01-01,27,71,26,1004,Port-Vila
2019-01-01,27,72,26,1006,Port-Vila
2019-01-01,26,73,25,1007,Port-Vila
2019-01-02,26,75,23,1006,Port-Vila
2019-01-02,26,73,22,1006,Port-Vila
2019-01-02,26,75,23,1007,Port-Vila
2019-01-02,27,75,24,1007,Port-Vila
2019-01-02,27,75,28,1006,Port-Vila
2019-01-02,27,76,30,1006,Port-Vila
2019-01-02,27,77,32,1007,Port-Vila
2019-01-02,26,78,33,1008,Port-Vila
2019-01-03,26,77,32,1007,Port-Vila
2019-01-03,26,75,31,1008,Port-Vila
2019-01-03,26,72,32,1008,Port-Vila
2019-01-03,27,70,33,1008,Port-Vila
2019-01-03,27,70,32,1007,Port-Vila
2019-01-03,27,71,30,1007,Port-Vila
2019-01-03,27,72,31,1008,Port-Vila
2019-01-03,27,73,33,1009,Port-Vila
2019-01-04,26,74,33,1008,Port-Vila
2019-01-04,26,73,33,1008,Port-Vila
2019-01-04,26,71,30,1008,Port-Vila
2019-01-04,27,69,28,1008,Port-Vila
2019-01-04,27,69,30,1007,Port-Vila
2019-01-04,27,72,30,1007,Port-Vila
2019-01-04,27,73,31,1008,Port-Vila
2019-01-04,26,73,32,1009,Port-Vila
2019-01-05,26,74,30,1008,Port-Vila
2019-01-05,26,76,29,1008,Port-Vila
2019-01-05,27,76,30,1008,Port-Vila
2019-01-05,27,75,30,1008,Port-Vila
2019-01-05,27,75,30,1007,Port-Vila
2019-01-05,27,75,31,1007,Port-Vila
2019-01-05,27,75,32,1008,Port-Vila
2019-01-05,27,75,32,1008,Port-Vila
2019-01-06,27,75,30,1007,Port-Vila
2019-01-06,26,75,28,1007,Port-Vila
2019-01-06,26,75,27,1009,Port-Vila
2019-01-06,26,75,26,1009,Port-Vila
2019-01-06,27,72,27,1008,Port-Vila
2019-01-06,27,72,30,1007,Port-Vila
2019-01-06,26,72,30,1008,Port-Vila
2019-01-06,26,74,30,1009,Port-Vila
2019-01-07,26,74,30,1008,Port-Vila
2019-01-07,26,75,28,1009,Port-Vila
2019-01-07,26,74,27,1009,Port-Vila
2019-01-07,27,72,28,1009,Port-Vila
2019-01-07,27,73,28,1008,Port-Vila
2019-01-07,27,76,29,1008,Port-Vila
2019-01-07,27,76,30,1009,Port-Vila
2019-01-07,26,75,28,1010,Port-Vila
2019-01-08,27,75,28,1009,Port-Vila
2019-01-08,26,75,27,1009,Port-Vila
2019-01-08,26,72,26,1009,Port-Vila
2019-01-08,27,71,26,1009,Port-Vila
2019-01-08,27,72,25,1008,Port-Vila
2019-01-08,27,74,23,1008,Port-Vila
2019-01-08,27,76,23,1009,Port-Vila
2019-01-08,26,77,23,1010,Port-Vila
2019-01-09,26,77,22,1008,Port-Vila
2019-01-09,26,76,21,1008,Port-Vila
2019-01-09,26,76,20,1009,Port-Vila
2019-01-09,27,74,18,1008,Port-Vila
2019-01-09,27,73,17,1007,Port-Vila
2019-01-09,27,75,18,1007,Port-Vila
2019-01-09,26,78,19,1008,Port-Vila
2019-01-09,26,79,19,1009,Port-Vila
2019-01-10,26,78,19,1007,Port-Vila
2019-01-10,26,78,18,1007,Port-Vila
2019-01-10,27,77,17,1008,Port-Vila
2019-01-10,27,74,15,1008,Port-Vila
2019-01-10,27,74,14,1007,Port-Vila
2019-01-10,27,75,15,1007,Port-Vila
2019-01-10,27,77,17,1008,Port-Vila
2019-01-10,27,77,15,1008,Port-Vila
2019-01-11,27,78,13,1007,Port-Vila
2019-01-11,27,78,11,1007,Port-Vila
2019-01-11,27,77,10,1008,Port-Vila
2019-01-11,27,73,10,1008,Port-Vila
2019-01-11,28,74,10,1007,Port-Vila
2019-01-11,28,74,10,1007,Port-Vila
2019-01-11,28,75,11,1008,Port-Vila
2019-01-11,27,75,11,1008,Port-Vila
2019-01-12,27,76,11,1007,Port-Vila
2019-01-12,27,76,12,1007,Port-Vila
2019-01-12,27,75,11,1008,Port-Vila
2019-01-12,27,70,9,1007,Port-Vila
2019-01-12,28,68,6,1006,Port-Vila
2019-01-12,28,69,8,1006,Port-Vila
2019-01-12,28,72,10,1007,Port-Vila
2019-01-12,27,72,9,1007,Port-Vila
2019-01-13,27,75,6,1006,Port-Vila
2019-01-13,27,76,6,1005,Port-Vila
2019-01-13,27,75,7,1006,Port-Vila
2019-01-13,28,71,6,1006,Port-Vila
2019-01-13,28,69,5,1005,Port-Vila
2019-01-13,28,69,8,1004,Port-Vila
2019-01-13,28,72,8,1006,Port-Vila
2019-01-13,27,72,8,1006,Port-Vila
2019-01-14,27,72,7,1005,Port-Vila
2019-01-14,27,74,7,1005,Port-Vila
2019-01-14,27,75,6,1006,Port-Vila
2019-01-14,28,70,5,1005,Port-Vila
2019-01-14,28,67,7,1004,Port-Vila
2019-01-14,29,69,10,1005,Port-Vila
2019-01-14,28,77,12,1006,Port-Vila
2019-01-14,27,79,11,1007,Port-Vila
2019-01-15,27,80,8,1006,Port-Vila
2019-01-15,27,81,7,1006,Port-Vila
2019-01-15,27,81,8,1007,Port-Vila
2019-01-15,28,79,10,1007,Port-Vila
2019-01-15,28,78,13,1006,Port-Vila
2019-01-15,28,79,17,1006,Port-Vila
2019-01-15,27,82,19,1008,Port-Vila
2019-01-15,27,82,19,1008,Port-Vila
2019-01-16,27,82,19,1007,Port-Vila
2019-01-16,27,81,18,1007,Port-Vila
2019-01-16,27,81,17,1007,Port-Vila
2019-01-16,28,78,15,1007,Port-Vila
2019-01-16,28,76,13,1007,Port-Vila
2019-01-16,28,78,15,1007,Port-Vila
2019-01-16,28,81,18,1008,Port-Vila
2019-01-16,28,82,18,1008,Port-Vila
2019-01-17,27,82,18,1008,Port-Vila
2019-01-17,28,82,18,1008,Port-Vila
2019-01-17,28,81,18,1008,Port-Vila
2019-01-17,28,79,18,1008,Port-Vila
2019-01-17,28,78,17,1007,Port-Vila
2019-01-17,28,79,17,1007,Port-Vila
2019-01-17,28,81,21,1008,Port-Vila
2019-01-17,28,80,24,1009,Port-Vila
2019-01-18,27,82,26,1008,Port-Vila
2019-01-18,27,82,27,1008,Port-Vila
2019-01-18,27,81,29,1009,Port-Vila
2019-01-18,28,79,31,1010,Port-Vila
2019-01-18,28,78,32,1008,Port-Vila
2019-01-18,28,79,32,1008,Port-Vila
2019-01-18,27,80,31,1010,Port-Vila
2019-01-18,27,81,30,1010,Port-Vila
2019-01-19,27,81,30,1009,Port-Vila
2019-01-19,27,81,28,1009,Port-Vila
2019-01-19,28,80,27,1010,Port-Vila
2019-01-19,28,79,29,1010,Port-Vila
2019-01-19,28,80,30,1008,Port-Vila
2019-01-19,28,81,30,1008,Port-Vila
2019-01-19,28,81,32,1009,Port-Vila
2019-01-19,28,82,32,1009,Port-Vila
2019-01-20,28,84,32,1007,Port-Vila
2019-01-20,28,84,31,1007,Port-Vila
2019-01-20,28,83,30,1009,Port-Vila
2019-01-20,28,82,31,1008,Port-Vila
2019-01-20,28,82,30,1008,Port-Vila
2019-01-20,28,83,29,1008,Port-Vila
2019-01-20,28,83,30,1009,Port-Vila
2019-01-20,28,84,30,1009,Port-Vila
2019-01-21,28,85,30,1008,Port-Vila
2019-01-21,28,84,30,1008,Port-Vila
2019-01-21,28,83,28,1008,Port-Vila
2019-01-21,28,82,25,1009,Port-Vila
2019-01-21,28,82,24,1007,Port-Vila
2019-01-21,28,83,27,1008,Port-Vila
2019-01-21,28,83,28,1009,Port-Vila
2019-01-21,28,83,31,1010,Port-Vila
2019-01-22,28,83,31,1009,Port-Vila
2019-01-22,28,83,31,1009,Port-Vila
2019-01-22,28,82,31,1010,Port-Vila
2019-01-22,28,81,31,1010,Port-Vila
2019-01-22,28,81,31,1009,Port-Vila
2019-01-22,28,81,33,1009,Port-Vila
2019-01-22,28,80,33,1009,Port-Vila
2019-01-22,28,80,32,1010,Port-Vila
2019-01-23,28,78,32,1009,Port-Vila
2019-01-23,27,79,32,1008,Port-Vila
2019-01-23,27,78,31,1010,Port-Vila
2019-01-23,28,78,31,1009,Port-Vila
2019-01-23,28,76,28,1008,Port-Vila
2019-01-23,28,77,26,1008,Port-Vila
2019-01-23,27,79,25,1010,Port-Vila
2019-01-23,27,79,24,1010,Port-Vila
2019-01-24,27,79,24,1009,Port-Vila
2019-01-24,27,79,22,1009,Port-Vila
2019-01-24,27,79,22,1010,Port-Vila
2019-01-24,28,77,21,1010,Port-Vila
2019-01-24,28,77,20,1009,Port-Vila
2019-01-24,28,79,20,1009,Port-Vila
2019-01-24,28,81,22,1010,Port-Vila
2019-01-24,27,81,23,1011,Port-Vila
2019-01-25,27,81,23,1010,Port-Vila
2019-01-25,27,81,23,1009,Port-Vila
2019-01-25,27,80,23,1010,Port-Vila
2019-01-25,27,78,24,1010,Port-Vila
2019-01-25,28,77,25,1009,Port-Vila
2019-01-25,27,77,26,1009,Port-Vila
2019-01-25,27,79,25,1010,Port-Vila
2019-01-25,27,80,23,1010,Port-Vila
2019-01-26,27,79,21,1009,Port-Vila
2019-01-26,27,80,21,1009,Port-Vila
2019-01-26,27,81,23,1010,Port-Vila
2019-01-26,27,79,27,1010,Port-Vila
2019-01-26,27,80,28,1008,Port-Vila
2019-01-26,27,79,27,1008,Port-Vila
2019-01-26,27,80,28,1009,Port-Vila
2019-01-26,27,80,28,1009,Port-Vila
2019-01-27,27,80,27,1008,Port-Vila
2019-01-27,27,79,26,1008,Port-Vila
2019-01-27,27,80,26,1009,Port-Vila
2019-01-27,27,79,27,1009,Port-Vila
2019-01-27,28,78,26,1008,Port-Vila
2019-01-27,28,78,25,1008,Port-Vila
2019-01-27,27,80,26,1009,Port-Vila
2019-01-27,27,80,27,1009,Port-Vila
2019-01-28,27,80,28,1009,Port-Vila
2019-01-28,27,80,27,1008,Port-Vila
2019-01-28,27,79,26,1009,Port-Vila
2019-01-28,27,77,26,1009,Port-Vila
2019-01-28,27,76,26,1008,Port-Vila
2019-01-28,27,76,28,1008,Port-Vila
2019-01-28,27,76,27,1009,Port-Vila
2019-01-28,27,76,26,1010,Port-Vila
2019-01-29,26,76,24,1009,Port-Vila
2019-01-29,26,76,22,1008,Port-Vila
2019-01-29,27,77,21,1009,Port-Vila
2019-01-29,27,77,21,1009,Port-Vila
2019-01-29,27,77,22,1007,Port-Vila
2019-01-29,27,78,23,1007,Port-Vila
2019-01-29,27,79,23,1008,Port-Vila
2019-01-29,27,79,23,1009,Port-Vila
2019-01-30,27,79,21,1007,Port-Vila
2019-01-30,27,79,20,1007,Port-Vila
2019-01-30,27,79,21,1007,Port-Vila
2019-01-30,27,78,21,1008,Port-Vila
2019-01-30,28,77,21,1008,Port-Vila
2019-01-30,27,79,22,1007,Port-Vila
2019-01-30,27,81,24,1007,Port-Vila
2019-01-30,27,81,25,1007,Port-Vila
2019-01-31,27,81,24,1007,Port-Vila
2019-01-31,27,82,23,1005,Port-Vila
2019-01-31,26,82,22,1006,Port-Vila
2019-01-31,27,81,21,1007,Port-Vila
2019-01-31,27,80,21,1006,Port-Vila
2019-01-31,27,80,23,1005,Port-Vila
2019-01-31,27,82,23,1005,Port-Vila
2019-01-31,25,82,22,1006,Port-Vila
2019-02-01,24,81,21,1006,Port-Vila
2019-02-01,26,80,15,1004,Port-Vila
2019-02-01,26,78,8,1004,Port-Vila
2019-02-01,27,73,6,1005,Port-Vila
2019-02-01,28,69,9,1005,Port-Vila
2019-02-01,28,70,14,1003,Port-Vila
2019-02-01,27,73,13,1003,Port-Vila
2019-02-01,25,76,10,1005,Port-Vila
2019-02-02,24,76,10,1004,Port-Vila
2019-02-02,27,77,12,1003,Port-Vila
2019-02-02,27,75,14,1004,Port-Vila
2019-02-02,28,71,12,1005,Port-Vila
2019-02-02,29,66,10,1005,Port-Vila
2019-02-02,29,66,8,1003,Port-Vila
2019-02-02,28,68,7,1004,Port-Vila
2019-02-02,27,72,9,1005,Port-Vila
2019-02-03,27,73,10,1005,Port-Vila
2019-02-03,27,75,10,1004,Port-Vila
2019-02-03,28,75,12,1005,Port-Vila
2019-02-03,28,73,12,1005,Port-Vila
2019-02-03,28,72,13,1004,Port-Vila
2019-02-03,29,71,14,1004,Port-Vila
2019-02-03,28,73,12,1005,Port-Vila
2019-02-03,28,72,8,1005,Port-Vila
2019-02-04,28,73,6,1004,Port-Vila
2019-02-04,28,74,6,1004,Port-Vila
2019-02-04,28,76,5,1005,Port-Vila
2019-02-04,28,75,6,1004,Port-Vila
2019-02-04,29,73,8,1003,Port-Vila
2019-02-04,29,74,13,1003,Port-Vila
2019-02-04,28,76,15,1004,Port-Vila
2019-02-04,28,77,18,1005,Port-Vila
2019-02-05,28,77,19,1004,Port-Vila
2019-02-05,28,76,22,1003,Port-Vila
2019-02-05,28,77,22,1004,Port-Vila
2019-02-05,28,76,22,1004,Port-Vila
2019-02-05,28,76,21,1002,Port-Vila
2019-02-05,28,75,19,1002,Port-Vila
2019-02-05,28,77,18,1004,Port-Vila
2019-02-05,28,77,19,1004,Port-Vila
2019-02-06,28,76,19,1003,Port-Vila
2019-02-06,28,76,18,1003,Port-Vila
2019-02-06,28,78,18,1004,Port-Vila
2019-02-06,28,76,19,1004,Port-Vila
2019-02-06,29,74,15,1003,Port-Vila
2019-02-06,29,74,13,1002,Port-Vila
2019-02-06,29,74,14,1004,Port-Vila
2019-02-06,28,76,17,1004,Port-Vila
2019-02-07,28,78,17,1003,Port-Vila
2019-02-07,28,77,14,1003,Port-Vila
2019-02-07,28,78,13,1004,Port-Vila
2019-02-07,29,78,13,1004,Port-Vila
2019-02-07,29,77,14,1002,Port-Vila
2019-02-07,29,80,16,1002,Port-Vila
2019-02-07,28,82,18,1003,Port-Vila
2019-02-07,28,81,23,1004,Port-Vila
2019-02-08,28,81,22,1003,Port-Vila
2019-02-08,28,83,23,1002,Port-Vila
2019-02-08,28,83,24,1002,Port-Vila
2019-02-08,28,82,22,1002,Port-Vila
2019-02-08,28,81,22,1001,Port-Vila
2019-02-08,28,80,24,1000,Port-Vila
2019-02-08,28,81,25,1002,Port-Vila
2019-02-08,28,82,24,1003,Port-Vila
2019-02-09,28,83,19,1001,Port-Vila
2019-02-09,28,83,18,1001,Port-Vila
2019-02-09,28,82,19,1002,Port-Vila
2019-02-09,28,81,20,1002,Port-Vila
2019-02-09,29,81,20,1001,Port-Vila
2019-02-09,29,82,22,1001,Port-Vila
2019-02-09,28,83,22,1002,Port-Vila
2019-02-09,28,84,20,1003,Port-Vila
2019-02-10,28,84,20,1002,Port-Vila
2019-02-10,28,85,21,1002,Port-Vila
2019-02-10,28,84,22,1002,Port-Vila
2019-02-10,28,83,22,1002,Port-Vila
2019-02-10,28,83,19,1001,Port-Vila
2019-02-10,28,82,18,1001,Port-Vila
2019-02-10,28,84,17,1002,Port-Vila
2019-02-10,28,84,15,1003,Port-Vila
2019-02-11,28,82,13,1002,Port-Vila
2019-02-11,28,82,10,1003,Port-Vila
2019-02-11,28,82,9,1003,Port-Vila
2019-02-11,28,81,9,1003,Port-Vila
2019-02-11,28,80,9,1001,Port-Vila
2019-02-11,28,82,14,1000,Port-Vila
2019-02-11,28,83,23,1001,Port-Vila
2019-02-11,28,82,28,1001,Port-Vila
2019-02-12,28,82,26,1000,Port-Vila
2019-02-12,28,82,27,1000,Port-Vila
2019-02-12,29,81,33,1000,Port-Vila
2019-02-12,29,81,35,1000,Port-Vila
2019-02-12,29,80,35,998,Port-Vila
2019-02-12,29,81,35,998,Port-Vila
2019-02-12,28,83,36,999,Port-Vila
2019-02-12,29,83,39,999,Port-Vila
2019-02-13,28,84,42,998,Port-Vila
2019-02-13,28,84,44,998,Port-Vila
2019-02-13,28,83,44,999,Port-Vila
2019-02-13,29,83,41,998,Port-Vila
2019-02-13,28,83,36,998,Port-Vila
2019-02-13,29,81,31,997,Port-Vila
2019-02-13,29,82,24,998,Port-Vila
2019-02-13,29,80,22,999,Port-Vila
2019-02-14,29,81,23,998,Port-Vila
2019-02-14,29,80,24,998,Port-Vila
2019-02-14,29,80,26,999,Port-Vila
2019-02-14,29,78,28,999,Port-Vila
2019-02-14,29,79,30,998,Port-Vila
2019-02-14,29,80,31,998,Port-Vila
2019-02-14,29,80,32,999,Port-Vila
2019-02-14,29,80,32,999,Port-Vila
2019-02-15,29,80,31,999,Port-Vila
2019-02-15,29,80,31,998,Port-Vila
2019-02-15,29,80,37,999,Port-Vila
2019-02-15,29,79,37,999,Port-Vila
2019-02-15,29,80,35,998,Port-Vila
2019-02-15,29,79,35,998,Port-Vila
2019-02-15,29,79,33,999,Port-Vila
2019-02-15,29,78,34,1000,Port-Vila
2019-02-16,29,78,36,999,Port-Vila
2019-02-16,29,77,36,999,Port-Vila
2019-02-16,29,77,35,1000,Port-Vila
2019-02-16,29,78,37,1000,Port-Vila
2019-02-16,29,78,39,998,Port-Vila
2019-02-16,29,79,40,999,Port-Vila
2019-02-16,29,79,40,999,Port-Vila
2019-02-16,29,80,43,1000,Port-Vila
2019-02-17,29,80,46,999,Port-Vila
2019-02-17,29,80,45,999,Port-Vila
2019-02-17,29,80,45,1000,Port-Vila
2019-02-17,29,80,44,1000,Port-Vila
2019-02-17,29,80,45,999,Port-Vila
2019-02-17,29,81,44,998,Port-Vila
2019-02-17,30,81,45,1000,Port-Vila
2019-02-17,29,81,46,1000,Port-Vila
2019-02-18,29,82,48,999,Port-Vila
2019-02-18,30,81,48,999,Port-Vila
2019-02-18,29,81,48,1000,Port-Vila
2019-02-18,29,79,48,1000,Port-Vila
2019-02-18,30,79,46,999,Port-Vila
2019-02-18,30,78,44,1000,Port-Vila
2019-02-18,29,79,42,1002,Port-Vila
2019-02-18,29,77,43,1003,Port-Vila
2019-02-19,29,77,44,1001,Port-Vila
2019-02-19,29,77,44,1002,Port-Vila
2019-02-19,29,77,43,1003,Port-Vila
2019-02-19,29,78,41,1003,Port-Vila
2019-02-19,29,78,39,1002,Port-Vila
2019-02-19,29,78,38,1002,Port-Vila
2019-02-19,29,75,37,1003,Port-Vila
2019-02-19,29,74,36,1004,Port-Vila
2019-02-20,29,75,36,1003,Port-Vila
2019-02-20,28,76,35,1002,Port-Vila
2019-02-20,29,76,36,1004,Port-Vila
2019-02-20,29,76,38,1004,Port-Vila
2019-02-20,29,75,36,1003,Port-Vila
2019-02-20,29,76,32,1002,Port-Vila
2019-02-20,29,78,34,1004,Port-Vila
2019-02-20,29,80,34,1005,Port-Vila
2019-02-21,28,81,32,1004,Port-Vila
2019-02-21,28,81,30,1004,Port-Vila
2019-02-21,28,81,28,1005,Port-Vila
2019-02-21,29,79,28,1006,Port-Vila
2019-02-21,29,77,26,1005,Port-Vila
2019-02-21,29,77,22,1005,Port-Vila
2019-02-21,29,77,18,1006,Port-Vila
2019-02-21,29,79,18,1008,Port-Vila
2019-02-22,28,79,20,1007,Port-Vila
2019-02-22,28,79,20,1007,Port-Vila
2019-02-22,28,78,20,1008,Port-Vila
2019-02-22,29,76,18,1009,Port-Vila
2019-02-22,29,73,15,1008,Port-Vila
2019-02-22,29,72,12,1008,Port-Vila
2019-02-22,29,79,12,1009,Port-Vila
2019-02-22,29,80,13,1010,Port-Vila
2019-02-23,28,80,15,1009,Port-Vila
2019-02-23,28,80,15,1009,Port-Vila
2019-02-23,28,79,14,1010,Port-Vila
2019-02-23,29,76,14,1009,Port-Vila
2019-02-23,29,72,14,1008,Port-Vila
2019-02-23,29,71,12,1008,Port-Vila
2019-02-23,29,75,9,1009,Port-Vila
2019-02-23,28,78,9,1010,Port-Vila
2019-02-24,28,78,10,1009,Port-Vila
2019-02-24,28,79,12,1009,Port-Vila
2019-02-24,28,78,14,1010,Port-Vila
2019-02-24,28,76,15,1010,Port-Vila
2019-02-24,28,75,17,1008,Port-Vila
2019-02-24,28,76,17,1008,Port-Vila
2019-02-24,28,79,17,1009,Port-Vila
2019-02-24,28,80,16,1009,Port-Vila
